time_step,unique_cells_visited,revisits,reward,total_reward
421,86,239,-0.5,-131.5
422,86,240,-0.5,-132.0
423,86,241,-0.5,-132.5
424,86,242,-0.5,-133.0
425,86,243,-0.5,-133.5
426,86,243,-1.0,-134.5
427,86,244,-0.5,-135.0
428,86,245,-0.5,-135.5
429,86,246,-0.5,-136.0
430,86,246,-1.0,-137.0
431,86,247,-0.5,-137.5
432,86,248,-0.5,-138.0
433,86,249,-0.5,-138.5
434,86,250,-0.5,-139.0
435,86,251,-0.5,-139.5
436,86,252,-0.5,-140.0
437,86,253,-0.5,-140.5
438,87,253,1.0,-139.5
439,87,254,-0.5,-140.0
440,87,255,-0.5,-140.5
441,87,256,-0.5,-141.0
442,87,257,-0.5,-141.5
443,87,258,-0.5,-142.0
444,87,259,-0.5,-142.5
445,87,260,-0.5,-143.0
446,87,261,-0.5,-143.5
447,87,262,-0.5,-144.0
448,87,263,-0.5,-144.5
449,87,264,-0.5,-145.0
450,87,265,-0.5,-145.5
451,87,266,-0.5,-146.0
452,88,266,1.0,-145.0
453,89,266,1.0,-144.0
454,89,267,-0.5,-144.5
455,89,268,-0.5,-145.0
456,90,268,1.0,-144.0
457,90,269,-0.5,-144.5
458,90,270,-0.5,-145.0
459,90,271,-0.5,-145.5
460,90,272,-0.5,-146.0
461,90,273,-0.5,-146.5
462,90,274,-0.5,-147.0
463,90,275,-0.5,-147.5
464,90,275,-1.0,-148.5
465,90,276,-0.5,-149.0
466,90,277,-0.5,-149.5
467,90,278,-0.5,-150.0
468,90,279,-0.5,-150.5
469,90,280,-0.5,-151.0
470,90,281,-0.5,-151.5
471,90,282,-0.5,-152.0
472,90,283,-0.5,-152.5
473,90,284,-0.5,-153.0
474,90,285,-0.5,-153.5
475,90,286,-0.5,-154.0
476,90,287,-0.5,-154.5
477,90,288,-0.5,-155.0
478,90,288,-1.0,-156.0
479,90,289,-0.5,-156.5
480,90,290,-0.5,-157.0
481,91,290,1.0,-156.0
482,92,290,1.0,-155.0
483,93,290,1.0,-154.0
484,94,290,1.0,-153.0
485,95,290,1.0,-152.0
486,95,290,-1.0,-153.0
487,95,291,-0.5,-153.5
488,95,291,-1.0,-154.5
489,95,291,-1.0,-155.5
490,95,291,-1.0,-156.5
491,95,292,-0.5,-157.0
492,95,293,-0.5,-157.5
493,95,294,-0.5,-158.0
494,95,295,-0.5,-158.5
495,95,296,-0.5,-159.0
496,95,297,-0.5,-159.5
497,95,298,-0.5,-160.0
498,96,298,1.0,-159.0
499,96,298,-1.0,-160.0
500,97,298,1.0,-159.0
501,98,298,1.0,-158.0
502,99,298,1.0,-157.0
503,100,298,1.0,-156.0
504,100,298,-1.0,-157.0
505,101,298,1.0,-156.0
506,102,298,1.0,-155.0
507,103,298,1.0,-154.0
508,103,299,-0.5,-154.5
509,103,300,-0.5,-155.0
510,104,300,1.0,-154.0
511,104,300,-1.0,-155.0
512,105,300,1.0,-154.0
513,106,300,1.0,-153.0
514,107,300,1.0,-152.0
515,107,301,-0.5,-152.5
516,108,301,1.0,-151.5
517,108,302,-0.5,-152.0
518,108,303,-0.5,-152.5
519,108,304,-0.5,-153.0
520,108,305,-0.5,-153.5
521,109,305,1.0,-152.5
522,110,305,1.0,-151.5
523,111,305,1.0,-150.5
524,112,305,1.0,-149.5
525,113,305,1.0,-148.5
526,114,305,1.0,-147.5
527,115,305,1.0,-146.5
528,115,305,-1.0,-147.5
529,115,305,-1.0,-148.5
530,115,306,-0.5,-149.0
531,115,307,-0.5,-149.5
532,116,307,1.0,-148.5
533,116,308,-0.5,-149.0
534,116,309,-0.5,-149.5
535,116,310,-0.5,-150.0
536,116,311,-0.5,-150.5
